epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.9969,1.24664,4.2728,0.00779,0.71429,0.67418,0.74287,0.58822,0.69378,3.55354,0.00513,0.0003,0.0003,0.0003
2,102.467,1.34052,2.50833,0.00844,0.64721,0.62921,0.69555,0.48519,0.98438,1.36967,0.00878,0.000613862,0.000613862,0.000613862
3,137.792,1.50605,2.0454,0.00938,0.33275,0.35955,0.25176,0.14929,1.86293,3.20345,0.01763,0.000921388,0.000921388,0.000921388
4,171.063,1.54396,1.82459,0.01088,0.59676,0.58201,0.56184,0.37464,1.35528,2.40272,0.01297,0.00122258,0.00122258,0.00122258
5,204.336,1.66746,1.69331,0.01095,0.53898,0.47191,0.47642,0.28616,1.38177,6.2219,0.01427,0.00151743,0.00151743,0.00151743
6,236.593,1.69062,1.80405,0.01154,0.46685,0.52809,0.50712,0.28569,1.54467,3.92854,0.01568,0.00180595,0.00180595,0.00180595
7,269.747,1.75814,1.79381,0.01244,0.48803,0.47191,0.42359,0.24583,1.5779,11.9671,0.01511,0.0018812,0.0018812,0.0018812
8,301.06,1.68903,1.69272,0.01089,0.41922,0.44944,0.39427,0.19565,1.62002,3.90085,0.01438,0.0018614,0.0018614,0.0018614
9,334.7,1.72014,1.72446,0.01212,0.56952,0.43112,0.51604,0.26006,1.55137,3.04864,0.01605,0.0018416,0.0018416,0.0018416
10,368.133,1.70344,1.62981,0.01085,0.48358,0.51685,0.49681,0.31047,1.35818,3.10016,0.01274,0.0018218,0.0018218,0.0018218
11,399.802,1.72257,1.63146,0.01156,0.48759,0.52809,0.45646,0.31337,1.31847,7.33338,0.01359,0.001802,0.001802,0.001802
12,434.185,1.62358,1.54773,0.01129,0.63015,0.59347,0.59417,0.35932,1.26861,2.75362,0.01157,0.0017822,0.0017822,0.0017822
13,465.548,1.66222,1.60084,0.01059,0.53407,0.57303,0.56092,0.33989,1.30525,5.15725,0.01271,0.0017624,0.0017624,0.0017624
14,498.595,1.60555,1.58346,0.01064,0.65443,0.47191,0.5821,0.41445,1.21114,4.73835,0.01288,0.0017426,0.0017426,0.0017426
15,530.38,1.56389,1.44478,0.01051,0.52138,0.68544,0.6406,0.40687,1.26119,1.64182,0.0122,0.0017228,0.0017228,0.0017228
16,563.952,1.62319,1.50514,0.01106,0.49455,0.55056,0.55821,0.35622,1.22915,2.68775,0.01088,0.001703,0.001703,0.001703
17,595.933,1.57002,1.4085,0.01088,0.77096,0.52809,0.67223,0.43226,1.3495,2.74838,0.01383,0.0016832,0.0016832,0.0016832
18,628.643,1.55221,1.50677,0.01097,0.6691,0.62921,0.69636,0.46765,1.21885,1.51535,0.01133,0.0016634,0.0016634,0.0016634
19,661.776,1.50381,1.38796,0.01047,0.57366,0.68539,0.6821,0.47013,1.23722,1.34263,0.01163,0.0016436,0.0016436,0.0016436
20,693.346,1.44001,1.31564,0.00974,0.6357,0.44944,0.56134,0.37081,1.19862,1.7025,0.01269,0.0016238,0.0016238,0.0016238
21,726.127,1.44402,1.3228,0.01001,0.70818,0.62921,0.73123,0.47684,1.17396,3.10362,0.01117,0.001604,0.001604,0.001604
22,759.731,1.43811,1.33961,0.00988,0.81357,0.67416,0.75726,0.51693,1.07117,1.76219,0.0099,0.0015842,0.0015842,0.0015842
23,793.982,1.5351,1.32242,0.01026,0.65788,0.70787,0.7396,0.49852,1.11133,1.37105,0.01044,0.0015644,0.0015644,0.0015644
