epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.808,1.17663,5.75063,0.00604,0.17203,0.11236,0.06415,0.04781,0.79862,5.1038,0.00383,0.00014,0.00014,0.00014
2,50.4999,1.15801,4.28383,0.00628,0.37314,0.48315,0.36496,0.2701,0.88039,3.75095,0.00511,0.00029703,0.00029703,0.00029703
3,62.5877,1.19274,2.92176,0.00779,0.59852,0.65327,0.61038,0.44672,0.9093,2.09877,0.0056,0.000450892,0.000450892,0.000450892
4,73.0681,1.22193,2.03972,0.00812,0.56956,0.66292,0.58269,0.42552,1.02696,1.60541,0.00692,0.000601586,0.000601586,0.000601586
5,81.157,1.26817,1.71097,0.0082,0.65221,0.5618,0.55515,0.35898,1.2204,1.66689,0.0079,0.000749112,0.000749112,0.000749112
6,90.271,1.31905,1.69154,0.0079,0.55457,0.64352,0.57404,0.37966,1.3426,1.73909,0.00977,0.00089347,0.00089347,0.00089347
7,97.2623,1.31958,1.54115,0.00834,0.48514,0.57303,0.46203,0.28661,1.18923,1.73281,0.0092,0.00103466,0.00103466,0.00103466
8,105.692,1.29598,1.41814,0.00857,0.59584,0.69663,0.64443,0.43071,1.1889,1.49051,0.00903,0.00117268,0.00117268,0.00117268
9,112.782,1.30961,1.42572,0.00882,0.44481,0.66292,0.49494,0.32738,1.27578,1.39352,0.00947,0.00130754,0.00130754,0.00130754
10,121.553,1.29935,1.36095,0.0078,0.65693,0.64549,0.63301,0.40478,1.33012,1.32673,0.01039,0.00143922,0.00143922,0.00143922
11,128.521,1.36113,1.41823,0.00869,0.51484,0.5618,0.53218,0.33606,1.22635,1.45753,0.01001,0.00156774,0.00156774,0.00156774
12,137.125,1.28902,1.31077,0.00797,0.52996,0.51685,0.4886,0.24956,1.4224,1.83764,0.01147,0.00169309,0.00169309,0.00169309
13,144.64,1.43032,1.34287,0.00962,0.61063,0.65197,0.61107,0.39877,1.26976,1.42451,0.01,0.0017624,0.0017624,0.0017624
14,154.19,1.42558,1.33138,0.00986,0.66476,0.5618,0.59471,0.35665,1.26291,1.42248,0.0107,0.0017426,0.0017426,0.0017426
15,163.193,1.42007,1.27854,0.00984,0.64502,0.61253,0.65703,0.3926,1.37297,1.13304,0.01122,0.0017228,0.0017228,0.0017228
16,171.435,1.41545,1.19015,0.01047,0.50261,0.62448,0.57715,0.36826,1.39992,1.48091,0.01048,0.001703,0.001703,0.001703
17,181.17,1.36738,1.17079,0.01021,0.76028,0.67709,0.70839,0.4904,1.26976,1.38041,0.0102,0.0016832,0.0016832,0.0016832
18,188.862,1.34775,1.2296,0.00814,0.54545,0.59327,0.5772,0.40494,1.23325,1.29166,0.00999,0.0016634,0.0016634,0.0016634
19,198.532,1.27694,1.05935,0.00807,0.66455,0.64045,0.63823,0.41978,1.285,1.12881,0.00901,0.0016436,0.0016436,0.0016436
20,206.696,1.3957,1.16845,0.00904,0.61973,0.65169,0.63475,0.40488,1.49779,1.30933,0.01259,0.0016238,0.0016238,0.0016238
21,215.559,1.2849,1.00235,0.00826,0.55982,0.67416,0.62211,0.40247,1.19852,1.37978,0.01017,0.001604,0.001604,0.001604
22,225.031,1.28687,1.04581,0.00844,0.6881,0.65169,0.67954,0.4486,1.19044,1.27342,0.00987,0.0015842,0.0015842,0.0015842
23,232.932,1.24494,1.00658,0.00732,0.79226,0.59551,0.69453,0.47084,1.24377,1.18652,0.01031,0.0015644,0.0015644,0.0015644
24,242.634,1.33164,1.13423,0.00923,0.72174,0.67032,0.71973,0.4536,1.22605,1.23695,0.01178,0.0015446,0.0015446,0.0015446
25,250.525,1.37813,1.03831,0.00849,0.68487,0.67416,0.71854,0.47699,1.21563,1.11349,0.00942,0.0015248,0.0015248,0.0015248
26,260.054,1.20405,0.92116,0.00812,0.68154,0.64928,0.69394,0.46959,1.29997,1.15,0.0102,0.001505,0.001505,0.001505
27,269.097,1.30522,1.10152,0.00772,0.73267,0.61592,0.67429,0.47017,1.18102,1.16697,0.00876,0.0014852,0.0014852,0.0014852
